method,stage,frequency_um_inv,period_um,frc,threshold_1_7,threshold_half_bit,n_ring_pixels,hr_pitch_um,pixel_size_um
maptv_new_vs_drz,after,0.0007812499999999999,1280.0,0.9945218697523601,0.14285714285714285,0.33301944154606616,68,10.0,20.0
maptv_new_vs_drz,after,0.0008928571428571428,1120.0,0.9954651535747477,0.14285714285714285,0.3308883459615167,70,10.0,20.0
maptv_new_vs_drz,after,0.0010044642857142856,995.5555555555557,0.998113994857435,0.14285714285714285,0.32498105977643776,76,10.0,20.0
maptv_new_vs_drz,after,0.0011160714285714285,896.0,0.9986641990482528,0.14285714285714285,0.3120228149867766,92,10.0,20.0
maptv_new_vs_drz,after,0.0012276785714285714,814.5454545454546,0.9988214591087257,0.14285714285714285,0.30307454563671804,106,10.0,20.0
maptv_new_vs_drz,after,0.0013392857142857143,746.6666666666666,0.9994694228325999,0.14285714285714285,0.309276869488276,96,10.0,20.0
maptv_new_vs_drz,after,0.0014508928571428572,689.2307692307692,0.999350737224345,0.14285714285714285,0.297657677511583,116,10.0,20.0
maptv_new_vs_drz,after,0.0015624999999999999,640.0,0.9995732714791586,0.14285714285714285,0.28942028891226607,134,10.0,20.0
maptv_new_vs_drz,after,0.0016741071428571428,597.3333333333334,0.9993055095051906,0.14285714285714285,0.2956748612128594,120,10.0,20.0
maptv_new_vs_drz,after,0.0017857142857142857,560.0,0.9995321075939232,0.14285714285714285,0.28476380812712476,146,10.0,20.0
maptv_new_vs_drz,after,0.0018973214285714286,527.0588235294118,0.9997004145457868,0.14285714285714285,0.2812856424436456,156,10.0,20.0
maptv_new_vs_drz,after,0.0020089285714285712,497.7777777777778,0.9998585962468066,0.14285714285714285,0.28702018719502587,140,10.0,20.0
maptv_new_vs_drz,after,0.002120535714285714,471.5789473684211,0.9998188764783001,0.14285714285714285,0.2757709533720164,174,10.0,20.0
maptv_new_vs_drz,after,0.002232142857142857,448.0,0.9998749267826051,0.14285714285714285,0.27520913338899333,176,10.0,20.0
